feature,importance
dayofweek,0.15479068982659655
time_risk_score,0.0910663982482958
hour,0.07371487736005432
month,0.06410223186892196
longitude,0.06344170165312367
latitude,0.06038953195843513
time_adjusted_severity,0.05672998081196373
grid_risk_score,0.051546495398542426
is_rush_hour,0.050803527158855485
is_weekend,0.04604766645731784
geo_grid,0.04121683668509918
prevention_effectiveness,0.03737750629234426
recurrence_risk_score,0.036829256749498794
combined_risk_score,0.03649055271523952
resource_intensity_score,0.03561350816020536
location_adjusted_impact,0.033091267687545826
neighborhood_risk_score,0.03139563268731448
neigh_enc,0.022833809197290982
is_night,0.01251852908335466
category_impact,0.0
category_severity,0.0
